equation,type_eq,answer,reasoning,label,source_file,true_answer,solution_latex,llm_solution,normalized_equation,token_text,token_count,label_id,split
y^{\prime}=1668+3052x+2868x^{2}-7328x^{3}+8475x^{4}+1614x^{5}-7539x^{6}+18304x^{7},polynomial,,,polynomial,polynomial_dataset_solutions_train.xlsx,y=1668x+1526x^{2}+956x^{3}-1832x^{4}+1695x^{5}+269x^{6}-1077x^{7}+2288x^{8}+C,"We are given the first-order ODE $y'(x)=f(x)$. Here, $f(x)=1668+3052x+2868x^{2}-7328x^{3}+8475x^{4}+1614x^{5}-7539x^{6}+18304x^{7}$. Integrate both sides with respect to $x$: $y(x)=\int f(x)\,dx=\int\left(1668+3052x+2868x^{2}-7328x^{3}+8475x^{4}+1614x^{5}-7539x^{6}+18304x^{7}\right)dx$. Integrate term-by-term using $\int x^n\,dx=\frac{x^{n+1}}{n+1}$ and $\int a\,dx=ax$. Hence $y(x)=y=1668x+1526x^{2}+956x^{3}-1832x^{4}+1695x^{5}+269x^{6}-1077x^{7}+2288x^{8}+C$. Therefore, $\boxed{y=1668x+1526x^{2}+956x^{3}-1832x^{4}+1695x^{5}+269x^{6}-1077x^{7}+2288x^{8}+C}$.",,y^{\prime}=1668+3052x+2868x^{2}-7328x^{3}+8475x^{4}+1614x^{5}-7539x^{6}+18304x^{7},y ^ { prime } = 1668 + 3052 x + 2868 x ^ { 2 } - 7328 x ^ { 3 } + 8475 x ^ { 4 } + 1614 x ^ { 5 } - 7539 x ^ { 6 } + 18304 x ^ { 7 },52,0,valid
y^{\prime}=2317-7266x+6699x^{2},polynomial,,,polynomial,polynomial_dataset_solutions_train.xlsx,y=2317x-3633x^{2}+2233x^{3}+C,"We are given the first-order ODE $y'(x)=f(x)$. Here, $f(x)=2317-7266x+6699x^{2}$. Integrate both sides with respect to $x$: $y(x)=\int f(x)\,dx=\int\left(2317-7266x+6699x^{2}\right)dx$. Integrate term-by-term using $\int x^n\,dx=\frac{x^{n+1}}{n+1}$ and $\int a\,dx=ax$. Hence $y(x)=y=2317x-3633x^{2}+2233x^{3}+C$. Therefore, $\boxed{y=2317x-3633x^{2}+2233x^{3}+C}$.",,y^{\prime}=2317-7266x+6699x^{2},y ^ { prime } = 2317 - 7266 x + 6699 x ^ { 2 },17,0,train
y^{\prime}=4058+6014x,polynomial,,,polynomial,polynomial_dataset_solutions_train.xlsx,y=4058x+3007x^{2}+C,"We are given the first-order ODE $y'(x)=f(x)$. Here, $f(x)=4058+6014x$. Integrate both sides with respect to $x$: $y(x)=\int f(x)\,dx=\int\left(4058+6014x\right)dx$. Integrate term-by-term using $\int x^n\,dx=\frac{x^{n+1}}{n+1}$ and $\int a\,dx=ax$. Hence $y(x)=y=4058x+3007x^{2}+C$. Therefore, $\boxed{y=4058x+3007x^{2}+C}$.",,y^{\prime}=4058+6014x,y ^ { prime } = 4058 + 6014 x,10,0,train
y^{\prime}=-3349-9184x+4605x^{2},polynomial,,,polynomial,polynomial_dataset_solutions_train.xlsx,y=-3349x-4592x^{2}+1535x^{3}+C,"We are given the first-order ODE $y'(x)=f(x)$. Here, $f(x)=-3349-9184x+4605x^{2}$. Integrate both sides with respect to $x$: $y(x)=\int f(x)\,dx=\int\left(-3349-9184x+4605x^{2}\right)dx$. Integrate term-by-term using $\int x^n\,dx=\frac{x^{n+1}}{n+1}$ and $\int a\,dx=ax$. Hence $y(x)=y=-3349x-4592x^{2}+1535x^{3}+C$. Therefore, $\boxed{y=-3349x-4592x^{2}+1535x^{3}+C}$.",,y^{\prime}=-3349-9184x+4605x^{2},y ^ { prime } = - 3349 - 9184 x + 4605 x ^ { 2 },18,0,train
y^{\prime}=-2020+3194x-10761x^{2}+17952x^{3},polynomial,,,polynomial,polynomial_dataset_solutions_train.xlsx,y=-2020x+1597x^{2}-3587x^{3}+4488x^{4}+C,"We are given the first-order ODE $y'(x)=f(x)$. Here, $f(x)=-2020+3194x-10761x^{2}+17952x^{3}$. Integrate both sides with respect to $x$: $y(x)=\int f(x)\,dx=\int\left(-2020+3194x-10761x^{2}+17952x^{3}\right)dx$. Integrate term-by-term using $\int x^n\,dx=\frac{x^{n+1}}{n+1}$ and $\int a\,dx=ax$. Hence $y(x)=y=-2020x+1597x^{2}-3587x^{3}+4488x^{4}+C$. Therefore, $\boxed{y=-2020x+1597x^{2}-3587x^{3}+4488x^{4}+C}$.",,y^{\prime}=-2020+3194x-10761x^{2}+17952x^{3},y ^ { prime } = - 2020 + 3194 x - 10761 x ^ { 2 } + 17952 x ^ { 3 },25,0,train
y^{\prime}=-1431-6996x+9456x^{2},polynomial,,,polynomial,polynomial_dataset_solutions_train.xlsx,y=-1431x-3498x^{2}+3152x^{3}+C,"We are given the first-order ODE $y'(x)=f(x)$. Here, $f(x)=-1431-6996x+9456x^{2}$. Integrate both sides with respect to $x$: $y(x)=\int f(x)\,dx=\int\left(-1431-6996x+9456x^{2}\right)dx$. Integrate term-by-term using $\int x^n\,dx=\frac{x^{n+1}}{n+1}$ and $\int a\,dx=ax$. Hence $y(x)=y=-1431x-3498x^{2}+3152x^{3}+C$. Therefore, $\boxed{y=-1431x-3498x^{2}+3152x^{3}+C}$.",,y^{\prime}=-1431-6996x+9456x^{2},y ^ { prime } = - 1431 - 6996 x + 9456 x ^ { 2 },18,0,train
y^{\prime}=4702-6276x-9747x^{2}-7472x^{3}-19110x^{4}+19602x^{5}-308x^{6}+19208x^{7},polynomial,,,polynomial,polynomial_dataset_solutions_train.xlsx,y=4702x-3138x^{2}-3249x^{3}-1868x^{4}-3822x^{5}+3267x^{6}-44x^{7}+2401x^{8}+C,"We are given the first-order ODE $y'(x)=f(x)$. Here, $f(x)=4702-6276x-9747x^{2}-7472x^{3}-19110x^{4}+19602x^{5}-308x^{6}+19208x^{7}$. Integrate both sides with respect to $x$: $y(x)=\int f(x)\,dx=\int\left(4702-6276x-9747x^{2}-7472x^{3}-19110x^{4}+19602x^{5}-308x^{6}+19208x^{7}\right)dx$. Integrate term-by-term using $\int x^n\,dx=\frac{x^{n+1}}{n+1}$ and $\int a\,dx=ax$. Hence $y(x)=y=4702x-3138x^{2}-3249x^{3}-1868x^{4}-3822x^{5}+3267x^{6}-44x^{7}+2401x^{8}+C$. Therefore, $\boxed{y=4702x-3138x^{2}-3249x^{3}-1868x^{4}-3822x^{5}+3267x^{6}-44x^{7}+2401x^{8}+C}$.",,y^{\prime}=4702-6276x-9747x^{2}-7472x^{3}-19110x^{4}+19602x^{5}-308x^{6}+19208x^{7},y ^ { prime } = 4702 - 6276 x - 9747 x ^ { 2 } - 7472 x ^ { 3 } - 19110 x ^ { 4 } + 19602 x ^ { 5 } - 308 x ^ { 6 } + 19208 x ^ { 7 },52,0,train
y^{\prime}=417-9802x-4533x^{2}-3648x^{3}-22800x^{4}+16176x^{5},polynomial,,,polynomial,polynomial_dataset_solutions_train.xlsx,y=417x-4901x^{2}-1511x^{3}-912x^{4}-4560x^{5}+2696x^{6}+C,"We are given the first-order ODE $y'(x)=f(x)$. Here, $f(x)=417-9802x-4533x^{2}-3648x^{3}-22800x^{4}+16176x^{5}$. Integrate both sides with respect to $x$: $y(x)=\int f(x)\,dx=\int\left(417-9802x-4533x^{2}-3648x^{3}-22800x^{4}+16176x^{5}\right)dx$. Integrate term-by-term using $\int x^n\,dx=\frac{x^{n+1}}{n+1}$ and $\int a\,dx=ax$. Hence $y(x)=y=417x-4901x^{2}-1511x^{3}-912x^{4}-4560x^{5}+2696x^{6}+C$. Therefore, $\boxed{y=417x-4901x^{2}-1511x^{3}-912x^{4}-4560x^{5}+2696x^{6}+C}$.",,y^{\prime}=417-9802x-4533x^{2}-3648x^{3}-22800x^{4}+16176x^{5},y ^ { prime } = 417 - 9802 x - 4533 x ^ { 2 } - 3648 x ^ { 3 } - 22800 x ^ { 4 } + 16176 x ^ { 5 },38,0,train
y^{\prime}=840+5100x-2871x^{2},polynomial,,,polynomial,polynomial_dataset_solutions_train.xlsx,y=840x+2550x^{2}-957x^{3}+C,"We are given the first-order ODE $y'(x)=f(x)$. Here, $f(x)=840+5100x-2871x^{2}$. Integrate both sides with respect to $x$: $y(x)=\int f(x)\,dx=\int\left(840+5100x-2871x^{2}\right)dx$. Integrate term-by-term using $\int x^n\,dx=\frac{x^{n+1}}{n+1}$ and $\int a\,dx=ax$. Hence $y(x)=y=840x+2550x^{2}-957x^{3}+C$. Therefore, $\boxed{y=840x+2550x^{2}-957x^{3}+C}$.",,y^{\prime}=840+5100x-2871x^{2},y ^ { prime } = 840 + 5100 x - 2871 x ^ { 2 },17,0,train
y^{\prime}=-26-8724x+12387x^{2}-452x^{3}+6730x^{4}+13104x^{5},polynomial,,,polynomial,polynomial_dataset_solutions_train.xlsx,y=-26x-4362x^{2}+4129x^{3}-113x^{4}+1346x^{5}+2184x^{6}+C,"We are given the first-order ODE $y'(x)=f(x)$. Here, $f(x)=-26-8724x+12387x^{2}-452x^{3}+6730x^{4}+13104x^{5}$. Integrate both sides with respect to $x$: $y(x)=\int f(x)\,dx=\int\left(-26-8724x+12387x^{2}-452x^{3}+6730x^{4}+13104x^{5}\right)dx$. Integrate term-by-term using $\int x^n\,dx=\frac{x^{n+1}}{n+1}$ and $\int a\,dx=ax$. Hence $y(x)=y=-26x-4362x^{2}+4129x^{3}-113x^{4}+1346x^{5}+2184x^{6}+C$. Therefore, $\boxed{y=-26x-4362x^{2}+4129x^{3}-113x^{4}+1346x^{5}+2184x^{6}+C}$.",,y^{\prime}=-26-8724x+12387x^{2}-452x^{3}+6730x^{4}+13104x^{5},y ^ { prime } = - 26 - 8724 x + 12387 x ^ { 2 } - 452 x ^ { 3 } + 6730 x ^ { 4 } + 13104 x ^ { 5 },39,0,test
y^{\prime}=1354-3782x+6375x^{2}+13884x^{3}-4490x^{4}+17376x^{5}+2457x^{6},polynomial,,,polynomial,polynomial_dataset_solutions_train.xlsx,y=1354x-1891x^{2}+2125x^{3}+3471x^{4}-898x^{5}+2896x^{6}+351x^{7}+C,"We are given the first-order ODE $y'(x)=f(x)$. Here, $f(x)=1354-3782x+6375x^{2}+13884x^{3}-4490x^{4}+17376x^{5}+2457x^{6}$. Integrate both sides with respect to $x$: $y(x)=\int f(x)\,dx=\int\left(1354-3782x+6375x^{2}+13884x^{3}-4490x^{4}+17376x^{5}+2457x^{6}\right)dx$. Integrate term-by-term using $\int x^n\,dx=\frac{x^{n+1}}{n+1}$ and $\int a\,dx=ax$. Hence $y(x)=y=1354x-1891x^{2}+2125x^{3}+3471x^{4}-898x^{5}+2896x^{6}+351x^{7}+C$. Therefore, $\boxed{y=1354x-1891x^{2}+2125x^{3}+3471x^{4}-898x^{5}+2896x^{6}+351x^{7}+C}$.",,y^{\prime}=1354-3782x+6375x^{2}+13884x^{3}-4490x^{4}+17376x^{5}+2457x^{6},y ^ { prime } = 1354 - 3782 x + 6375 x ^ { 2 } + 13884 x ^ { 3 } - 4490 x ^ { 4 } + 17376 x ^ { 5 } + 2457 x ^ { 6 },45,0,train
y^{\prime}=-3954-1966x-9840x^{2}-11768x^{3}-9235x^{4},polynomial,,,polynomial,polynomial_dataset_solutions_train.xlsx,y=-3954x-983x^{2}-3280x^{3}-2942x^{4}-1847x^{5}+C,"We are given the first-order ODE $y'(x)=f(x)$. Here, $f(x)=-3954-1966x-9840x^{2}-11768x^{3}-9235x^{4}$. Integrate both sides with respect to $x$: $y(x)=\int f(x)\,dx=\int\left(-3954-1966x-9840x^{2}-11768x^{3}-9235x^{4}\right)dx$. Integrate term-by-term using $\int x^n\,dx=\frac{x^{n+1}}{n+1}$ and $\int a\,dx=ax$. Hence $y(x)=y=-3954x-983x^{2}-3280x^{3}-2942x^{4}-1847x^{5}+C$. Therefore, $\boxed{y=-3954x-983x^{2}-3280x^{3}-2942x^{4}-1847x^{5}+C}$.",,y^{\prime}=-3954-1966x-9840x^{2}-11768x^{3}-9235x^{4},y ^ { prime } = - 3954 - 1966 x - 9840 x ^ { 2 } - 11768 x ^ { 3 } - 9235 x ^ { 4 },32,0,train
y^{\prime}=1428+7172x-6189x^{2}-6016x^{3}+15245x^{4}+23910x^{5}-2485x^{6},polynomial,,,polynomial,polynomial_dataset_solutions_train.xlsx,y=1428x+3586x^{2}-2063x^{3}-1504x^{4}+3049x^{5}+3985x^{6}-355x^{7}+C,"We are given the first-order ODE $y'(x)=f(x)$. Here, $f(x)=1428+7172x-6189x^{2}-6016x^{3}+15245x^{4}+23910x^{5}-2485x^{6}$. Integrate both sides with respect to $x$: $y(x)=\int f(x)\,dx=\int\left(1428+7172x-6189x^{2}-6016x^{3}+15245x^{4}+23910x^{5}-2485x^{6}\right)dx$. Integrate term-by-term using $\int x^n\,dx=\frac{x^{n+1}}{n+1}$ and $\int a\,dx=ax$. Hence $y(x)=y=1428x+3586x^{2}-2063x^{3}-1504x^{4}+3049x^{5}+3985x^{6}-355x^{7}+C$. Therefore, $\boxed{y=1428x+3586x^{2}-2063x^{3}-1504x^{4}+3049x^{5}+3985x^{6}-355x^{7}+C}$.",,y^{\prime}=1428+7172x-6189x^{2}-6016x^{3}+15245x^{4}+23910x^{5}-2485x^{6},y ^ { prime } = 1428 + 7172 x - 6189 x ^ { 2 } - 6016 x ^ { 3 } + 15245 x ^ { 4 } + 23910 x ^ { 5 } - 2485 x ^ { 6 },45,0,train
y^{\prime}=-5-3794x-2187x^{2}-13548x^{3}-24145x^{4}-27882x^{5},polynomial,,,polynomial,polynomial_dataset_solutions_train.xlsx,y=-5x-1897x^{2}-729x^{3}-3387x^{4}-4829x^{5}-4647x^{6}+C,"We are given the first-order ODE $y'(x)=f(x)$. Here, $f(x)=-5-3794x-2187x^{2}-13548x^{3}-24145x^{4}-27882x^{5}$. Integrate both sides with respect to $x$: $y(x)=\int f(x)\,dx=\int\left(-5-3794x-2187x^{2}-13548x^{3}-24145x^{4}-27882x^{5}\right)dx$. Integrate term-by-term using $\int x^n\,dx=\frac{x^{n+1}}{n+1}$ and $\int a\,dx=ax$. Hence $y(x)=y=-5x-1897x^{2}-729x^{3}-3387x^{4}-4829x^{5}-4647x^{6}+C$. Therefore, $\boxed{y=-5x-1897x^{2}-729x^{3}-3387x^{4}-4829x^{5}-4647x^{6}+C}$.",,y^{\prime}=-5-3794x-2187x^{2}-13548x^{3}-24145x^{4}-27882x^{5},y ^ { prime } = - 5 - 3794 x - 2187 x ^ { 2 } - 13548 x ^ { 3 } - 24145 x ^ { 4 } - 27882 x ^ { 5 },39,0,valid
y^{\prime}=1003-9360x+3198x^{2}-6600x^{3},polynomial,,,polynomial,polynomial_dataset_solutions_train.xlsx,y=1003x-4680x^{2}+1066x^{3}-1650x^{4}+C,"We are given the first-order ODE $y'(x)=f(x)$. Here, $f(x)=1003-9360x+3198x^{2}-6600x^{3}$. Integrate both sides with respect to $x$: $y(x)=\int f(x)\,dx=\int\left(1003-9360x+3198x^{2}-6600x^{3}\right)dx$. Integrate term-by-term using $\int x^n\,dx=\frac{x^{n+1}}{n+1}$ and $\int a\,dx=ax$. Hence $y(x)=y=1003x-4680x^{2}+1066x^{3}-1650x^{4}+C$. Therefore, $\boxed{y=1003x-4680x^{2}+1066x^{3}-1650x^{4}+C}$.",,y^{\prime}=1003-9360x+3198x^{2}-6600x^{3},y ^ { prime } = 1003 - 9360 x + 3198 x ^ { 2 } - 6600 x ^ { 3 },24,0,train
y^{\prime}=1612-1716x-2277x^{2}-1656x^{3}-20730x^{4},polynomial,,,polynomial,polynomial_dataset_solutions_train.xlsx,y=1612x-858x^{2}-759x^{3}-414x^{4}-4146x^{5}+C,"We are given the first-order ODE $y'(x)=f(x)$. Here, $f(x)=1612-1716x-2277x^{2}-1656x^{3}-20730x^{4}$. Integrate both sides with respect to $x$: $y(x)=\int f(x)\,dx=\int\left(1612-1716x-2277x^{2}-1656x^{3}-20730x^{4}\right)dx$. Integrate term-by-term using $\int x^n\,dx=\frac{x^{n+1}}{n+1}$ and $\int a\,dx=ax$. Hence $y(x)=y=1612x-858x^{2}-759x^{3}-414x^{4}-4146x^{5}+C$. Therefore, $\boxed{y=1612x-858x^{2}-759x^{3}-414x^{4}-4146x^{5}+C}$.",,y^{\prime}=1612-1716x-2277x^{2}-1656x^{3}-20730x^{4},y ^ { prime } = 1612 - 1716 x - 2277 x ^ { 2 } - 1656 x ^ { 3 } - 20730 x ^ { 4 },31,0,train
y^{\prime}=3666+3850x-3564x^{2},polynomial,,,polynomial,polynomial_dataset_solutions_train.xlsx,y=3666x+1925x^{2}-1188x^{3}+C,"We are given the first-order ODE $y'(x)=f(x)$. Here, $f(x)=3666+3850x-3564x^{2}$. Integrate both sides with respect to $x$: $y(x)=\int f(x)\,dx=\int\left(3666+3850x-3564x^{2}\right)dx$. Integrate term-by-term using $\int x^n\,dx=\frac{x^{n+1}}{n+1}$ and $\int a\,dx=ax$. Hence $y(x)=y=3666x+1925x^{2}-1188x^{3}+C$. Therefore, $\boxed{y=3666x+1925x^{2}-1188x^{3}+C}$.",,y^{\prime}=3666+3850x-3564x^{2},y ^ { prime } = 3666 + 3850 x - 3564 x ^ { 2 },17,0,train
y^{\prime}=3557-6850x,polynomial,,,polynomial,polynomial_dataset_solutions_train.xlsx,y=3557x-3425x^{2}+C,"We are given the first-order ODE $y'(x)=f(x)$. Here, $f(x)=3557-6850x$. Integrate both sides with respect to $x$: $y(x)=\int f(x)\,dx=\int\left(3557-6850x\right)dx$. Integrate term-by-term using $\int x^n\,dx=\frac{x^{n+1}}{n+1}$ and $\int a\,dx=ax$. Hence $y(x)=y=3557x-3425x^{2}+C$. Therefore, $\boxed{y=3557x-3425x^{2}+C}$.",,y^{\prime}=3557-6850x,y ^ { prime } = 3557 - 6850 x,10,0,train
y^{\prime}=-2552+6630x+11550x^{2}-18260x^{3}+17305x^{4}+24936x^{5},polynomial,,,polynomial,polynomial_dataset_solutions_train.xlsx,y=-2552x+3315x^{2}+3850x^{3}-4565x^{4}+3461x^{5}+4156x^{6}+C,"We are given the first-order ODE $y'(x)=f(x)$. Here, $f(x)=-2552+6630x+11550x^{2}-18260x^{3}+17305x^{4}+24936x^{5}$. Integrate both sides with respect to $x$: $y(x)=\int f(x)\,dx=\int\left(-2552+6630x+11550x^{2}-18260x^{3}+17305x^{4}+24936x^{5}\right)dx$. Integrate term-by-term using $\int x^n\,dx=\frac{x^{n+1}}{n+1}$ and $\int a\,dx=ax$. Hence $y(x)=y=-2552x+3315x^{2}+3850x^{3}-4565x^{4}+3461x^{5}+4156x^{6}+C$. Therefore, $\boxed{y=-2552x+3315x^{2}+3850x^{3}-4565x^{4}+3461x^{5}+4156x^{6}+C}$.",,y^{\prime}=-2552+6630x+11550x^{2}-18260x^{3}+17305x^{4}+24936x^{5},y ^ { prime } = - 2552 + 6630 x + 11550 x ^ { 2 } - 18260 x ^ { 3 } + 17305 x ^ { 4 } + 24936 x ^ { 5 },39,0,test
y^{\prime}=-1050+9130x-5982x^{2}-5584x^{3}-6335x^{4}-14256x^{5},polynomial,,,polynomial,polynomial_dataset_solutions_train.xlsx,y=-1050x+4565x^{2}-1994x^{3}-1396x^{4}-1267x^{5}-2376x^{6}+C,"We are given the first-order ODE $y'(x)=f(x)$. Here, $f(x)=-1050+9130x-5982x^{2}-5584x^{3}-6335x^{4}-14256x^{5}$. Integrate both sides with respect to $x$: $y(x)=\int f(x)\,dx=\int\left(-1050+9130x-5982x^{2}-5584x^{3}-6335x^{4}-14256x^{5}\right)dx$. Integrate term-by-term using $\int x^n\,dx=\frac{x^{n+1}}{n+1}$ and $\int a\,dx=ax$. Hence $y(x)=y=-1050x+4565x^{2}-1994x^{3}-1396x^{4}-1267x^{5}-2376x^{6}+C$. Therefore, $\boxed{y=-1050x+4565x^{2}-1994x^{3}-1396x^{4}-1267x^{5}-2376x^{6}+C}$.",,y^{\prime}=-1050+9130x-5982x^{2}-5584x^{3}-6335x^{4}-14256x^{5},y ^ { prime } = - 1050 + 9130 x - 5982 x ^ { 2 } - 5584 x ^ { 3 } - 6335 x ^ { 4 } - 14256 x ^ { 5 },39,0,train
y^{\prime}=4340+6392x-2307x^{2},polynomial,,,polynomial,polynomial_dataset_solutions_train.xlsx,y=4340x+3196x^{2}-769x^{3}+C,"We are given the first-order ODE $y'(x)=f(x)$. Here, $f(x)=4340+6392x-2307x^{2}$. Integrate both sides with respect to $x$: $y(x)=\int f(x)\,dx=\int\left(4340+6392x-2307x^{2}\right)dx$. Integrate term-by-term using $\int x^n\,dx=\frac{x^{n+1}}{n+1}$ and $\int a\,dx=ax$. Hence $y(x)=y=4340x+3196x^{2}-769x^{3}+C$. Therefore, $\boxed{y=4340x+3196x^{2}-769x^{3}+C}$.",,y^{\prime}=4340+6392x-2307x^{2},y ^ { prime } = 4340 + 6392 x - 2307 x ^ { 2 },17,0,train
y^{\prime}=-937+9320x-2997x^{2}-15784x^{3}-1185x^{4},polynomial,,,polynomial,polynomial_dataset_solutions_train.xlsx,y=-937x+4660x^{2}-999x^{3}-3946x^{4}-237x^{5}+C,"We are given the first-order ODE $y'(x)=f(x)$. Here, $f(x)=-937+9320x-2997x^{2}-15784x^{3}-1185x^{4}$. Integrate both sides with respect to $x$: $y(x)=\int f(x)\,dx=\int\left(-937+9320x-2997x^{2}-15784x^{3}-1185x^{4}\right)dx$. Integrate term-by-term using $\int x^n\,dx=\frac{x^{n+1}}{n+1}$ and $\int a\,dx=ax$. Hence $y(x)=y=-937x+4660x^{2}-999x^{3}-3946x^{4}-237x^{5}+C$. Therefore, $\boxed{y=-937x+4660x^{2}-999x^{3}-3946x^{4}-237x^{5}+C}$.",,y^{\prime}=-937+9320x-2997x^{2}-15784x^{3}-1185x^{4},y ^ { prime } = - 937 + 9320 x - 2997 x ^ { 2 } - 15784 x ^ { 3 } - 1185 x ^ { 4 },32,0,train
y^{\prime}=1414-5286x,polynomial,,,polynomial,polynomial_dataset_solutions_train.xlsx,y=1414x-2643x^{2}+C,"We are given the first-order ODE $y'(x)=f(x)$. Here, $f(x)=1414-5286x$. Integrate both sides with respect to $x$: $y(x)=\int f(x)\,dx=\int\left(1414-5286x\right)dx$. Integrate term-by-term using $\int x^n\,dx=\frac{x^{n+1}}{n+1}$ and $\int a\,dx=ax$. Hence $y(x)=y=1414x-2643x^{2}+C$. Therefore, $\boxed{y=1414x-2643x^{2}+C}$.",,y^{\prime}=1414-5286x,y ^ { prime } = 1414 - 5286 x,10,0,train
y^{\prime}=-2438-3602x-10515x^{2}+19776x^{3}+4690x^{4},polynomial,,,polynomial,polynomial_dataset_solutions_train.xlsx,y=-2438x-1801x^{2}-3505x^{3}+4944x^{4}+938x^{5}+C,"We are given the first-order ODE $y'(x)=f(x)$. Here, $f(x)=-2438-3602x-10515x^{2}+19776x^{3}+4690x^{4}$. Integrate both sides with respect to $x$: $y(x)=\int f(x)\,dx=\int\left(-2438-3602x-10515x^{2}+19776x^{3}+4690x^{4}\right)dx$. Integrate term-by-term using $\int x^n\,dx=\frac{x^{n+1}}{n+1}$ and $\int a\,dx=ax$. Hence $y(x)=y=-2438x-1801x^{2}-3505x^{3}+4944x^{4}+938x^{5}+C$. Therefore, $\boxed{y=-2438x-1801x^{2}-3505x^{3}+4944x^{4}+938x^{5}+C}$.",,y^{\prime}=-2438-3602x-10515x^{2}+19776x^{3}+4690x^{4},y ^ { prime } = - 2438 - 3602 x - 10515 x ^ { 2 } + 19776 x ^ { 3 } + 4690 x ^ { 4 },32,0,train
y^{\prime}=1204+7036x+2889x^{2}+16064x^{3}+19425x^{4}-26232x^{5},polynomial,,,polynomial,polynomial_dataset_solutions_train.xlsx,y=1204x+3518x^{2}+963x^{3}+4016x^{4}+3885x^{5}-4372x^{6}+C,"We are given the first-order ODE $y'(x)=f(x)$. Here, $f(x)=1204+7036x+2889x^{2}+16064x^{3}+19425x^{4}-26232x^{5}$. Integrate both sides with respect to $x$: $y(x)=\int f(x)\,dx=\int\left(1204+7036x+2889x^{2}+16064x^{3}+19425x^{4}-26232x^{5}\right)dx$. Integrate term-by-term using $\int x^n\,dx=\frac{x^{n+1}}{n+1}$ and $\int a\,dx=ax$. Hence $y(x)=y=1204x+3518x^{2}+963x^{3}+4016x^{4}+3885x^{5}-4372x^{6}+C$. Therefore, $\boxed{y=1204x+3518x^{2}+963x^{3}+4016x^{4}+3885x^{5}-4372x^{6}+C}$.",,y^{\prime}=1204+7036x+2889x^{2}+16064x^{3}+19425x^{4}-26232x^{5},y ^ { prime } = 1204 + 7036 x + 2889 x ^ { 2 } + 16064 x ^ { 3 } + 19425 x ^ { 4 } - 26232 x ^ { 5 },38,0,train
y^{\prime}=-4580-1890x,polynomial,,,polynomial,polynomial_dataset_solutions_train.xlsx,y=-4580x-945x^{2}+C,"We are given the first-order ODE $y'(x)=f(x)$. Here, $f(x)=-4580-1890x$. Integrate both sides with respect to $x$: $y(x)=\int f(x)\,dx=\int\left(-4580-1890x\right)dx$. Integrate term-by-term using $\int x^n\,dx=\frac{x^{n+1}}{n+1}$ and $\int a\,dx=ax$. Hence $y(x)=y=-4580x-945x^{2}+C$. Therefore, $\boxed{y=-4580x-945x^{2}+C}$.",,y^{\prime}=-4580-1890x,y ^ { prime } = - 4580 - 1890 x,11,0,test
y^{\prime}=2467+180x-13530x^{2}+5416x^{3}-4215x^{4}-17934x^{5},polynomial,,,polynomial,polynomial_dataset_solutions_train.xlsx,y=2467x+90x^{2}-4510x^{3}+1354x^{4}-843x^{5}-2989x^{6}+C,"We are given the first-order ODE $y'(x)=f(x)$. Here, $f(x)=2467+180x-13530x^{2}+5416x^{3}-4215x^{4}-17934x^{5}$. Integrate both sides with respect to $x$: $y(x)=\int f(x)\,dx=\int\left(2467+180x-13530x^{2}+5416x^{3}-4215x^{4}-17934x^{5}\right)dx$. Integrate term-by-term using $\int x^n\,dx=\frac{x^{n+1}}{n+1}$ and $\int a\,dx=ax$. Hence $y(x)=y=2467x+90x^{2}-4510x^{3}+1354x^{4}-843x^{5}-2989x^{6}+C$. Therefore, $\boxed{y=2467x+90x^{2}-4510x^{3}+1354x^{4}-843x^{5}-2989x^{6}+C}$.",,y^{\prime}=2467+180x-13530x^{2}+5416x^{3}-4215x^{4}-17934x^{5},y ^ { prime } = 2467 + 180 x - 13530 x ^ { 2 } + 5416 x ^ { 3 } - 4215 x ^ { 4 } - 17934 x ^ { 5 },38,0,test
y^{\prime}=-628-9070x+13059x^{2}-17656x^{3},polynomial,,,polynomial,polynomial_dataset_solutions_train.xlsx,y=-628x-4535x^{2}+4353x^{3}-4414x^{4}+C,"We are given the first-order ODE $y'(x)=f(x)$. Here, $f(x)=-628-9070x+13059x^{2}-17656x^{3}$. Integrate both sides with respect to $x$: $y(x)=\int f(x)\,dx=\int\left(-628-9070x+13059x^{2}-17656x^{3}\right)dx$. Integrate term-by-term using $\int x^n\,dx=\frac{x^{n+1}}{n+1}$ and $\int a\,dx=ax$. Hence $y(x)=y=-628x-4535x^{2}+4353x^{3}-4414x^{4}+C$. Therefore, $\boxed{y=-628x-4535x^{2}+4353x^{3}-4414x^{4}+C}$.",,y^{\prime}=-628-9070x+13059x^{2}-17656x^{3},y ^ { prime } = - 628 - 9070 x + 13059 x ^ { 2 } - 17656 x ^ { 3 },25,0,train
